requirement_id,requirement_text,source,workstream,module(s),planned_changes,acceptance_tests,proof_artifacts,status
REQ-001,"Premarket data sanity gate — impossible moves must be blocked",CMD,W1,"main.py:1914-1951; PreMarketIntelligenceEngine","Add magnitude filter (max ±8% overnight, ±30% intraday) before Telegram send","T-UNIT-001: Inject 500% move → verify BLOCKED; T-INT-001: End-to-end premarket with good data → verify PASS","Log entry: SANITY_FAIL_MAGNITUDE; system_state.json blocked_count field",planned
REQ-002,"Fail-closed state machine — data quality gate must block on DEGRADED not just SYSTEM_DOWN",CMD,W1,"main.py:608-611","Change binary check to ternary: ALL_CHECKS_PASSED → proceed; DEGRADED → proceed with watermark; SYSTEM_DOWN → halt","T-UNIT-002: Set status=DEGRADED → verify signals carry DEGRADED flag; T-UNIT-003: Set status=SYSTEM_DOWN → verify empty return","Log entry: DATA_QUALITY_STATE; signal.provenance.data_quality field",planned
REQ-003,"Canonical return math — leverage-once policy enforcement",CMD,W2,"All return computation paths (pdf_v2_momentum.py, pdf_v2_risk.py, predictive_scoring.py, daily_target.py)","Add leverage_applied boolean flag per computation. Assert flag is false before applying leverage.","T-UNIT-004: Apply leverage twice → verify assertion error; T-UNIT-005: Normal path → verify leverage applied exactly once","Unit test pass/fail; leverage_audit.log",planned
REQ-004,"Division-by-zero guards at all identified locations",CMD,W2,"pdf_v2_risk.py:399; pdf_v2_momentum.py:429; volatility_regime.py:254; predictive_scoring.py:867-868; lse_registry.py:331-333","Add explicit guards with safe fallback values at each location","T-UNIT-006: Set denominator=0 at each location → verify fallback value returned, no crash","Unit test results; guard_audit.log",planned
REQ-005,"Provenance metadata on every data field (provider/field/as_of/ttl/quality)",CMD,W3,"System-wide; new provenance module","Create ProvenanceRecord dataclass; attach to every data fetch; validate TTL before use","T-INT-002: Fetch data → verify provenance record attached; T-INT-003: Inject stale data → verify STALE flag","provenance_chain JSON in signals table; War Room freshness indicators",planned
REQ-006,"Staleness detection and enforcement per field TTL",CMD,W3,"Data validator; all data fetch paths","Implement TTL matrix (Price: 90s market hours; VIX: 5min; Regime: 5min; Volume: 90s; Earnings: 24h)","T-UNIT-007: Set field age > TTL → verify rejection; T-UNIT-008: Set field age < TTL → verify acceptance","Log: STALE_DATA_REJECTED; provenance.staleness_violations counter",planned
REQ-007,"Telegram tape rebuild — consistent formatting with labels",CMD,W4,"delivery/telegram_bot.py:180-212","Add category labels [SIGNAL]/[BRIEF]/[FIREWALL] etc. to all message types; use HTML parse_mode consistently","T-INT-004: Generate each message type → verify label present and HTML valid","Message samples in telegram_debug.jsonl",planned
REQ-008,"Telegram deduplication window and restart hygiene",CMD,W4,"delivery/telegram_bot.py:63-84; main.py:3678","Persist dedupe hashes to DB; implement 5-min quiet mode on restart; restore kill/pause state from DB","T-REG-001: Restart system → verify no signals sent for 5 min; T-REG-002: Set kill switch → restart → verify kill switch still active","Log: QUIET_MODE_ACTIVE; DB: telegram_state table",planned
REQ-009,"Kill switch and pause state persistence across restarts",CMD,W4,"delivery/telegram_bot.py:1277,1300; main.py:3597-3708","Persist _paused_strategies and _killed_strategies to DB table telegram_state; load on startup","T-REG-003: Pause strategy → restart → verify strategy still paused","DB: telegram_state table rows",planned
REQ-010,"Regime taxonomy unification — resolve dual taxonomy",CMD,W5,"uk_isa/volatility_regime.py (5 states); config/settings.yaml Section 7 (8 states)","Create canonical mapping function: volatility_regime→settings regime. Document which is primary.","T-UNIT-009: For each of 5 vol regimes → verify maps to exactly 1 settings regime; T-INT-005: Verify Telegram and PDF show same regime label","Mapping table in REGIME_DROUGHT_SPEC.md; unit test results",decision_needed
